#OTU ID	HFD1	HFD2	HFD3	HFD4	HFD5	HFD6	NC1	NC10	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
zotu149	0	0	51	0	18	15	51	58	34	48	2	36	9	30	13	59
zotu15	0	0	0	0	0	0	0	0	206	2277	880	1755	0	0	0	0
zotu150	0	0	0	0	0	0	5	0	73	7	0	36	0	0	0	0
zotu151	4	0	0	42	0	0	7	0	12	58	20	21	0	0	0	0
zotu152	0	0	50	0	16	36	0	0	0	0	0	0	0	0	0	0
zotu153	1	2	57	3	36	16	7	18	4	4	2	5	61	55	13	19
zotu154	3	0	0	52	0	0	9	0	5	40	6	8	0	0	0	0
zotu155	0	0	0	0	0	0	54	0	48	30	20	45	0	0	0	0
zotu156	0	46	0	21	0	0	0	28	0	0	0	0	33	47	54	21
zotu157	0	9	13	6	44	9	6	0	0	1	0	1	0	0	0	0
zotu158	0	0	0	0	0	0	42	0	12	3	0	10	0	0	0	0
zotu159	0	0	0	0	0	0	0	0	39	40	23	21	3	39	3	0
zotu16	8	1776	0	1719	0	0	0	0	0	0	0	0	0	0	0	0
zotu160	217	6	2	98	14	15	0	0	0	0	0	0	0	0	0	0
zotu161	0	0	0	0	0	0	0	25	0	0	0	0	56	51	39	22
zotu162	0	0	0	0	0	0	50	0	13	8	1	24	0	0	0	0
zotu163	0	0	0	0	0	0	0	0	25	47	23	14	0	0	0	0
zotu164	0	0	40	0	27	46	0	0	1	0	0	0	2	0	0	0
zotu165	0	0	0	0	0	0	0	66	0	0	0	0	26	15	1	10
zotu166	0	0	0	0	0	0	4	70	34	0	16	18	36	8	8	10
zotu167	0	0	0	0	0	0	8	0	14	22	6	36	0	0	0	0
zotu168	0	0	0	0	0	0	0	0	0	0	0	0	5	0	40	1
zotu169	0	1	0	0	0	0	0	41	0	0	0	0	37	31	52	21
zotu17	0	0	0	0	0	0	540	937	1313	11	311	906	1296	653	1675	474
zotu170	0	0	2	0	0	0	8	0	11	23	3	37	0	0	0	0
zotu171	0	25	37	1	4	14	0	15	0	0	0	0	22	21	22	16
zotu172	0	0	0	0	0	0	11	0	29	31	6	18	0	0	0	0
zotu173	0	0	0	0	0	0	14	56	48	3	8	34	23	2	99	17
zotu174	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	44
zotu175	0	7	11	9	12	1	35	2	9	5	5	34	1	5	12	23
zotu176	3	41	0	1	0	0	0	17	0	0	0	0	19	24	26	14
zotu177	313	3	1	0	6	5	0	0	0	0	0	0	0	0	0	0
zotu178	0	8	19	2	5	4	27	0	3	3	0	12	0	0	2	9
zotu179	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	31
zotu18	818	292	1	9	1	1	6	1247	5	1	0	9	617	1652	1552	1064
zotu180	0	0	0	0	0	0	3	85	13	2	3	3	41	7	13	15
zotu181	82	13	0	0	0	0	2	9	0	7	1	0	5	2	3	5
zotu182	117	19	0	0	2	0	1	5	13	16	0	5	10	2	2	0
zotu183	0	0	0	0	0	0	0	0	0	1	22	0	6	0	0	0
zotu184	0	0	0	0	0	0	3	65	38	1	9	17	44	33	54	18
zotu185	0	0	0	0	0	0	7	0	24	9	12	16	0	0	0	0
zotu186	0	0	0	0	0	0	0	0	2	50	3	22	0	0	0	0
zotu187	0	1	20	1	0	0	0	0	0	0	0	0	0	0	0	0
zotu188	0	30	0	23	0	0	16	5	16	6	12	19	20	20	15	15
zotu189	0	0	0	0	0	0	3	16	18	11	8	6	13	9	3	7
zotu19	0	0	0	0	0	0	634	1	868	1534	621	587	12	2	1	3
zotu190	2	23	10	5	6	5	2	9	6	6	9	5	2	6	6	5
zotu191	0	7	28	1	0	3	10	0	5	7	6	2	0	1	1	3
zotu192	0	0	0	0	0	0	0	52	1	0	0	2	23	5	9	6
zotu193	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0
zotu194	0	0	0	0	0	0	0	0	5	27	2	25	0	0	0	0
zotu195	28	8	2	3	5	2	2	179	36	0	3	5	126	138	0	25
zotu196	324	61	17	28	47	98	0	0	0	0	0	0	0	0	0	0
zotu197	2	23	0	6	0	0	0	6	0	0	3	6	3	2	6	4
zotu198	14	25	0	11	0	0	0	0	0	0	0	0	1	1	1	1
zotu199	3	21	0	6	0	0	7	5	2	5	2	10	3	1	6	1
zotu2	2	1	0	0	1	0	497	3308	317	83	32	300	1885	3463	13633	1466
zotu20	94	837	1960	448	72	42	0	0	0	0	0	0	0	0	0	0
zotu200	0	4	0	22	0	0	0	1	1	0	1	0	7	1	2	0
zotu201	0	0	0	0	0	0	0	0	6	53	6	26	0	0	0	0
zotu202	0	0	0	0	0	0	0	0	7	79	6	29	0	0	0	0
zotu203	0	0	0	0	0	0	0	112	6	11	6	4	162	34	94	14
zotu204	36	9	2	16	2	1	0	0	0	0	0	0	0	0	0	0
zotu205	178	1	0	0	7	5	0	0	0	0	0	0	0	0	0	0
zotu206	7	5	19	0	13	9	3	12	3	11	4	6	12	7	4	3
zotu207	0	0	0	0	0	0	11	355	41	1	7	21	289	95	294	21
zotu208	209	18	2	0	8	18	2	293	0	0	0	0	66	85	8	65
zotu209	0	0	0	0	0	0	2	0	0	72	0	38	0	0	0	0
zotu21	944	849	36	3	72	1	850	557	1262	1370	547	1305	1002	833	687	565
